Part Name	Vendor	SKU	Unit Cost	Quantity	Total Price	Num Per Container	Num Used	Notes
								
*note that I get a small commission off these Amazon links, but this is where I buy a lot of my supplies anyway.								
I recommend checking your local hardware store first, as many of these materials are available there, consider these links more of a reference than a specific brand requirement.								
								
Brass Stock								
3/16" 360 brass 4" x 6" sheet 	McMaster-Carr	8954K412	$36.16	1	$36.16			
1/8" 360 brass 4" x 12" sheet	McMaster-Carr	8954K149	$47.76	1	$47.76			
0.5" diameter x 6" 360 brass round stock	McMaster-Carr	8953K174	$16.42	1	$16.42			Only about 1.5" of this is needed for cutting shaft collars.
0.063" 353 brass sheet 6" x 6" sheet	McMaster-Carr	8956K175	$33.31	1	$33.31			McMaster does not sell 360 ultra machinable brass in thinner sheets. I used the 353 brass instead, it is also very machinable.
								
Silver-Toned Metal Shim (optional)								
n/a – you will only need a tiny scrap of silver colored metal	source locally		$0.00	1	$0.00			This is to add a silver tooth to the calendar dial to mark a special date.  Use a piece of scrap.  I used aluminum.
								
Steel Rod								
1/16" OD tight tolerance stainless steel rod 6" length	McMaster-Carr	88915K11	$3.54	1	$3.54			Only a few inches needed.  Brass also available.
1/8" OD tight tolerance stainless steel rod 12" length	McMaster-Carr	8934K24	$7.84	2	$15.68			I think it's worth it to pay the extra for tight-tolerance on these rods - makes the press fits more reliable and saves some filing work later, but McMaster also sells a standard tolerance version of these rods for 1/3 the price. Brass also available, though I ended up liking the look of the mixed metals more.
								
Brass Tubes								
*Note from McMaster: Tubes with 0.014" and 0.45 mm wall thicknesses allow you to create telescoping tubes; each tube fits inside the next larger size.  I went with imperial sizes because McMaster tends to have more inventory in inches than mm that would be compatible with the tubes.								
**These brass tubes are used widely and can often be found at the local hardware/craft store.  Some interesting ideas about working this these tubes here: http://steampunkworkshop.com/making-joints-telescoping-brass-tubing-slip-fit-press-fit-detent-fit/								
***McMaster does not sell tubes in the 360 brass. The 260 brass has a slightly different color than the 360, but it is not very noticeable.								
5/32" OD 0.128" ID brass tube	McMaster-Carr	8859K21	$2.12	1	$2.12			Only a few inches needed.
3/16" OD 0.16" ID brass tube	McMaster-Carr	8859K22	$2.08	1	$2.08			Only a few inches needed.
7/32" OD 0.191" ID brass tube	McMaster-Carr	8859K23	$2.61	1	$2.61			Only a few inches needed.
								
Aluminum Rod								
3/8" OD 6061 aluminum rod 6" length	McMaster-Carr	8974K24	$1.25	1	$1.25			Only a few inches needed, used for central drive.  A 1/4" rod would also work, but was too small for my lathe chuck.
								
Thrust Washers								
*I laser cut this stock to the correct washer sizes I needed. Double thick washers in the CAD model are made from two layers of washers.								
**These washers could be made out of anything (like standard metal washers), it's not critical to be low friction because the parts of this machine don't move that fast - laser cutting them myself was cheaper and easier for me because I could control the size.								
Delrin 0.031 strip film black 5ft	McMaster-Carr	2638T21	$3.55	1	$3.55			Only about a foot needed.
								
Bearings								
10 pack bearing for 1/8" shaft with 1/4" OD and 7/64" height	Amazon		$10.89	2	$21.78	10	13	These bearings are $1 each on Amazon - since this isn't a high performance application, I don't care about quality too much. If Amazon is not an option for you, the bearings could be subbed with these (much more expensive) bearings from McMaster.
thrust bearing 0.5" shaft, 15/16" OD	McMaster-Carr	5909K31	$3.91	1	$3.91			
0.032" washer for 0.5" thrust bearing	McMaster-Carr	5909K44	$1.23	1	$1.23			
								
Screws/Bolts								
*you should check out your local hardware store first to see if you can buy these screws individually, as very few per pack are used.								
M2 2mm stainless steel set screws	McMaster-Carr	92015A011	$7.50	1	$7.50	25	1	Tiny screw for the moon shaft collar, you could also file down a 4mm screw to achieve this.
M2 4mm stainless steel set screws	McMaster-Carr	92015A091	$5.98	1	$5.98	25	4	Shaft collar sets screw for various parts.
M2.5 4mm stainless steel set screws	McMaster-Carr	92015A095	$8.29	1	$8.29	50	3	Set screws for the two shaft collars that were turned on the lathe and the crank handle.  M2 screws would work here too, but the M2.5 have more grip.
M3 5mm stainless steel set screws	McMaster-Carr	92015A103	$8.68	1	$8.68	50	1	Used for the bottom mount on on the central axis, a smaller screw would work here (e.g. M2.5), but the M3 are better if you can swing it.
M3 12mm stainless steel set screws	McMaster-Carr	92015A107	$12.20	1	$12.20	50	3	Used for crank adjustments (inside threaded inserts).  This is an odd part bc it is so long, you can also use regular M3 bolt, but you'll have to figure out how long you need based on your setup
1/4-20 stainless set screw 3/8" length, 1/8" drive size	McMaster-Carr	94355A535	$4.66	1	$4.66	25	1	For sun attachment to central shaft.
 6-32 brass set screw 1/8" length, 1/16" drive size	McMaster-Carr	92991A142	$4.94	1	$4.94	50	2	For moon and counterweight attachment.
M3 threaded inserts	McMaster-Carr	95807A490	$2.73	3	$8.19			These screw into the wood base for adjustment mechanism for worm gear meshing alignment.  I found needed to install these in a slightly larger hole than recommended on McMaster's website.
2-56 1/4" decorative round head brass screws	McMaster-Carr	92453A077	$5.18	1	$5.18	100	6	McMaster's brass standoffs have a zinc coating, so I'm just using the smallest, cheapest metal standoffs available. For the final finish, I've added a bit of brass tube around the standoff.
#2 1/4" decorative round head brass wood screws	McMaster-Carr	92407A077	$5.19	1	$5.19	100	2	For mounting the nameplate to the underside of the wood base.
1/8" diameter 3/8" tall 2-56 threaded aluminum standoffs	McMaster-Carr	93330A252	$1.09	3	$3.27			McMaster's brass standoffs have a zinc coating, so I'm just using the smallest, cheapest metal standoffs available. For the final finish, I've added a brass tube around the standoff.
M2 4mm brass slotted screws	McMaster-Carr	96686A363	$12.50	1	$12.50	50	2	For attaching the moon orbit cam to its mount (these will need to be shortened a little bit, but McMaster does not carry shorter lengths).  I would have liked to use a decorative round head screw for this, but had trouble sourcing.
#4 3/4" square drive stainless steel screws	McMaster-Carr	94155A096	$6.72	1	$6.72	100	9	9 used for final assembly, also used about 20 screws to fixture 1/8" and 3/16" brass stock for machining.  The important thing about these screws is that they will fit inside an 1/8" hole without damaging the surface finish.  The square drive prevents stripping.
1.5" wood screws	McMaster-Carr	90031A203	$5.28	1	$5.28	100	~5	Only for fixturing, not used for final assembly.
								
Dowel Pins								
*convenient but optional, these could be made from the 1/16" rod								
1/16" stainless steel dowel pins 1/4" long	McMaster-Carr	90145A415	$9.91	1	$9.91	100	5	
								
Base / Feet / Crank								
hardwood 5/4"x4"x30"	source locally		$15.00	1	$15.00			I used domestic cherry.
1/8" acrylic sheet 6" x 12"	McMaster-Carr	8560K275	$5.70	1	$5.70			Only a few square inches needed.  Not visible from the outside, any color is fine.  Also used for gear depthing gauge (see below).
1/8 IPS unfinished brass finial	Grand Brass Lamp Parts	FI669	$1.50	6	$9.00			Many other styles available, should be at least 1" in height.
3/4" steel nipple 1/8 IPS	Grand Brass Lamp Parts	NI0-3/4X1/8	$0.10	6	$0.60			
shaft collar 1/8" ID, 3/8" OD, 1/4" wide	McMaster-Carr	9414T3	$1.23	1	$1.23			
size 0 brass vienna clock crank	R&N Horological	T-S 941	$5.19	1	$5.19			
30:1 worm gear set 3mm diameter	Amazon		$17.28	1	$17.28			Order early, may ship from china.  Will need to bore the worm wheel out to 1/4" ID.  This 40:1 worm drive could also be nice, but 3D model will need to be adjusted.
3mm x 10mm x 0.3mm compression springs	Amazon		$6.99	1	$6.99	10	6	Stiffer option: 3mm x 10mm x 0.5mm compression spring
								
Earth								
