Gears						Ratio	Target Ratio	Error (%)	Ang deviation in 100 years (deg)	Pitch Scaling (moon orbit)	First Stage Ratio		Target Perigee Regression	Target Perigee 2nd Stage Ratio	Best Perigee Gear Ratios		Ratio	Error (%)	Ang deviation in 100 years (deg)	Pitch Scaling (Perigee)		Target Nodes Regression	Target Nodes 2nd Stage Ratio	Best Nodes Gear Ratios		Ratio	Error (%)	Ang deviation in 100 years (deg)	Pitch Scaling (Nodes)
																													
52	14	26	14	52	29	12.3687544	12.36874634	0.00006515058865	0.2900991978	0.7641509434	3.714285714		0.8870107566	0.2388105883	11	46	0.8881987578	0.1339331181	42.7680419	0.8636363636		1.053764597	0.283705853	15	53	1.051212938	-0.2421469654	-91.85972381	1.03030303
47	23	43	11	48	31	12.36873645	12.36874634	-0.00007993625062	-0.3559360346	0.6370967742	2.043478261		0.8870107566	0.4340690937	23	53	0.8867924528	-0.02461117503	-7.858935713	1.085714286		1.053764597	0.5156720368	16	31	1.054698457	0.08862133209	33.61896803	0.6714285714
34	13	29	13	53	25	12.3687574	12.36874634	0.00008939022114	0.3980321894	0.8764044944	2.615384615		0.8870107566	0.3391511716	18	53	0.8882438316	0.1390146659	44.39070144	1.510638298		1.053764597	0.402909993	21	52	1.056213018	0.2323498776	88.14314705	1.553191489
49	19	27	8	54	38	12.36876731	12.36874634	0.0001695646334	0.7550286981	0.8932038835	2.578947368		0.8870107566	0.3439429464	11	32	0.8865131579	-0.05609838455	-17.91355339	0.6323529412		1.053764597	0.4086025988	20	49	1.052631579	-0.1075209829	-40.78864989	1.014705882
34	9	34	9	39	45	12.36872428	12.36874634	-0.000178354087	-0.794165926	0.976744186	3.777777778		0.8870107566	0.234796965	8	34	0.8888888889	0.2117372619	67.6127624	0.976744186		1.053764597	0.2789376874	12	43	1.054263566	0.04735107755	17.96288009	1.279069767
38	11	32	11	48	39	12.36872219	12.36874634	-0.0001952752149	-0.8695114558	0.9456521739	3.454545455		0.8870107566	0.2567662716	10	39	0.8857808858	-0.1386534278	-44.27534949	1		1.053764597	0.3050371202	11	36	1.055555556	0.1699581254	64.474508	0.9591836735
40	13	30	13	54	31	12.36877267	12.36874634	0.000212847274	0.947755419	0.8854166667	3.076923077		0.8870107566	0.2882784959	15	52	0.8875739645	0.06349504703	20.27548429	1.264150943		1.053764597	0.342473494	13	38	1.052631579	-0.1075209829	-40.78864989	0.9622641509
35	17	32	9	49	29	12.3687176	12.36874634	-0.0002323438115	-1.034568601	0.8387096774	2.058823529		0.8870107566	0.4308337961	22	51	0.8881199539	0.1250489079	39.9311015	1.403846154		1.053764597	0.5118285185	22	43	1.053351573	-0.03919507391	-14.86885725	1.25
53	17	36	10	54	49	12.36878752	12.36874634	0.0003328955488	1.482300216	0.8879310345	3.117647059		0.8870107566	0.2845128842	8	28	0.8907563025	0.4222661217	134.8396532	0.5142857143		1.053764597	0.3379999651	18	53	1.058823529	0.4800818348	182.1215668	1.014285714
49	12	34	10	49	55	12.36878788	12.36874634	0.0003358366866	1.495396364	0.9904761905	4.083333333		0.8870107566	0.2172271241	10	46	0.8876811594	0.0755800102	24.13450153	0.9180327869		1.053764597	0.2580647993	8	31	1.053763441	-0.0001097151858	-0.04162103226	0.6393442623
41	13	35	11	53	43	12.36867783	12.36874634	-0.0005538653959	-2.466223412	0.96	3.153846154		0.8870107566	0.2812473131	9	32	0.8870192308	0.000955362623	0.3050700923	0.7592592593		1.053764597	0.334120482	8	24	1.051282051	-0.2355882637	-89.37164585	0.5925925926
40	23	30	8	55	29	12.36881559	12.36874634	0.0005598967106	2.49307934	0.8316831683	1.739130435		0.8870107566	0.510031185	25	49	0.8873114463	0.03389921886	10.82482984	1.174603175		1.053764597	0.6059146433	20	33	1.054018445	0.02408966135	9.138539621	0.8412698413
29	13	27	8	46	28	12.36881868	12.36874634	0.0005848718754	2.604287473	0.961038961	2.230769231		0.8870107566	0.3976255116	21	53	0.8838896952	-0.3518628569	-112.35821	1.761904762		1.053764597	0.4723772331	17	36	1.053418803	-0.03281506915	-12.44856892	1.261904762
41	14	39	14	47	31	12.36882818	12.36874634	0.0006616388566	2.946111547	0.7222222222	2.928571429		0.8870107566	0.3028817218	10	33	0.8874458874	0.04905587025	15.66471045	0.7818181818		1.053764597	0.3598220575	9	25	1.054285714	0.04945291265	18.76022229	0.6181818182
44	19	39	9	53	43	12.36882905	12.36874634	0.0006686964494	2.977537234	0.8648648649	2.315789474		0.8870107566	0.3830273722	18	47	0.8868980963	-0.01270111941	-4.055770635	1.031746032		1.053764597	0.4550347123	10	22	1.052631579	-0.1075209829	-40.78864989	0.5079365079
38	13	37	8	43	47	12.36865794	12.36874634	-0.0007147223389	-3.182478953	0.9375	2.923076923		0.8870107566	0.3034510483	10	33	0.8857808858	-0.1386534278	-44.27534949	0.8431372549		1.053764597	0.3604984148	9	25	1.052307692	-0.1382571303	-52.44856892	0.6666666667
51	23	47	13	54	35	12.36865743	12.36874634	-0.0007188317277	-3.200777028	0.6641791045	2.217391304		0.8870107566	0.4000244589	20	50	0.8869565217	-0.006114340831	-1.952454991	0.9459459459		1.053764597	0.4752271712	19	40	1.05326087	-0.0478026531	-18.13418765	0.7972972973
34	19	32	10	54	25	12.36884211	12.36874634	0.0007742519777	3.447549474	0.8315789474	1.789473684		0.8870107566	0.4956824816	8	16	0.8947368421	0.8710250071	278.1390782	0.4528301887		1.053764597	0.5888684513	10	17	1.052631579	-0.1075209829	-40.78864989	0.5094339623
46	13	37	11	53	51	12.36884684	12.36874634	0.0008125272547	3.617979663	0.9719626168	3.538461538		0.8870107566	0.250676953	8	32	0.8846153846	-0.2700499365	-86.23339145	0.6779661017		1.053764597	0.2978030383	14	47	1.05400982	0.02327113361	8.828026822	1.033898305
47	13	31	12	49	37	12.36884962	12.36874634	0.000834998526	3.718038586	0.8349514563	3.615384615		0.8870107566	0.2453434008	13	53	0.8867924528	-0.02461117503	-7.858935713	1.1		1.053764597	0.2914668034	14	48	1.054487179	0.06857152814	26.01296954	1.033333333
51	16	41	14	53	40	12.36863839	12.36874634	-0.0008727411808	-3.886097143	0.762295082	3.1875		0.8870107566	0.2782778844	10	36	0.8854166667	-0.1797148368	-57.3872376	0.6865671642		1.053764597	0.3305928147	8	24	1.0625	0.8289710078	314.474508	0.4776119403
31	16	13	8	55	14	12.36886161	12.36874634	0.0009319226031	4.149617143	1.014705882	1.9375		0.8870107566	0.4578120034	11	24	0.8880208333	0.1138742372	36.3627624	0.7446808511		1.053764597	0.5438785017	25	46	1.05298913	-0.07359011371	-27.91679635	1.510638298
41	19	34	9	44	29	12.36862271	12.36874634	-0.0009995662118	-4.450817133	0.7087378641	2.157894737		0.8870107566	0.4110537653	14	34	0.8885448916	0.1729556298	55.22886147	0.8		1.053764597	0.4883299352	21	43	1.053855569	0.008633062423	3.274997596	1.066666667
45	11	27	8	43	48	12.36860795	12.36874634	-0.001118831697	-4.981876364	1	4.090909091		0.8870107566	0.2168248516	10	46	0.8893280632	0.2612489898	83.42303908	1		1.053764597	0.2575869015	9	35	1.051948052	-0.1723862291	-65.39562187	0.7857142857
42	16	34	8	51	46	12.36888587	12.36874634	0.00112808171	5.023064348	0.97	2.625		0.8870107566	0.3379088597	18	53	0.891509434	0.5071728081	161.952385	1.224137931		1.053764597	0.4014341322	8	20	1.05	-0.3572521805	-135.525492	0.4827586207
46	19	28	15	52	19	12.36860572	12.36874634	-0.001136858641	-5.062145817	0.6574074074	2.421052632		0.8870107566	0.3663740082	11	30	0.8877192982	0.07987971288	25.50749924	0.6307692308		1.053764597	0.4352505944	10	23	1.052631579	-0.1075209829	-40.78864989	0.5076923077
23	15	22	10	55	15	12.36888889	12.36874634	0.001152492621	5.13176	1	1.533333333		0.8870107566	0.578485276	11	19	0.8877192982	0.07987971288	25.50749924	0.7894736842		1.053764597	0.6872377807	11	16	1.054166667	0.03815554895	14.474508	0.7105263158
